timestamp_utc	script	proposal_rows	proposal_changes	targets	bootstrap_tag	cache_version
2026-06-30T03:15:40+00:00	resources/normalize_1551_documentos_attached_brackets.py	172	208	1551-95 Documentos nahuas de la Ciudad de México::(?:\[Mi\]guel|termi\[no\]|titotlatolcuepaz\[que\]|\[mococo\]hua|tla\[xilacalli\]|\[i\]n|posesio\[n\]|cen\[ca\]|jue\[z\])	publish-ready-392	v460
2026-06-30T03:18:23+00:00	resources/normalize_1611_arenas_space_brackets.py	502	1117	1611 Arenas::\[ \]	publish-ready-393	v461
2026-06-30T03:20:10+00:00	resources/normalize_1629_alarcon_space_brackets.py	62	63	1629 Alarcón::\[ \]	publish-ready-394	v462
2026-06-30T03:23:08+00:00	resources/normalize_1759_paredes_attached_brackets.py	17	17	1759 Paredes::(?:quichichil\[i\]a|Ilhuicacayot\[l\]|Itecuiyohua\[n\]|tlay\[o\]ua|tichihua\[l\]ō|mopach\[i\])	publish-ready-395	v463
2026-06-30T03:25:12+00:00	resources/normalize_1547_olmos_v_space_brackets.py	1	1	1547 Olmos_V ?::\[ \]	publish-ready-396	v464
2026-06-30T03:31:21+00:00	resources/normalize_1759_paredes_spanish_circumflex.py	19	21	1759 Paredes::(?:matâra|estâ|Yâ|estarâ|hablarâ|âlguna|aborrecerâ|aduertirê|mâs|âfuera|criô|prometiô|coronarâ|conforme â esto|empezamos â caminar)	publish-ready-397	v465
2026-06-30T03:39:24+00:00	resources/normalize_1611_arenas_examples.py	5	6	1611 Arenas::\bytoca\b	publish-ready-398	v466
2026-06-30T03:43:07+00:00	resources/normalize_1992_karttunen_spanish_residue.py	3	5	1992 Karttunen::(?:\bfrios\b|/ocho\b)	publish-ready-399	v467
2026-06-30T03:49:50+00:00	resources/normalize_1765_cortes_y_zedeno_translation_brackets.py	2	2	1765 Cortés y Zedeño::cuantas \[veces\]	publish-ready-400	v468
2026-06-30T03:51:31+00:00	resources/normalize_1571_molina2_translation_brackets.py	2	2	1571 Molina 2::\[es\] lo mismo	publish-ready-401	v469
2026-06-30T03:53:14+00:00	resources/normalize_1580_cf_index_translation_brackets.py	1	1	1580 CF Index::\[tliltic\]	publish-ready-402	v470
2026-06-30T03:56:08+00:00	resources/normalize_1780_clavijero_translation_brackets.py	1	1	1780 Clavijero::que \[cría\] unas	publish-ready-403	v471
2026-06-30T04:04:54+00:00	resources/normalize_1565_sahagun_escolios_spanish_oldwriting.py	47	268	1565 Sahagún Escolios::(?<![\w-])ê(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])cômigo(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])demâdar(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])pnîa(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])âtes(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])hîchar(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])negligêcia(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])acôtecer(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])reziamête(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])êtendida(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])reuêtar(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])aparêcia(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])habitâ(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])nascê(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])quâdo(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])diligête(?![\w-])	publish-ready-404	v472
2026-06-30T04:06:59+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	13	30	1565 Sahagún Escolios::(?<![\w-])ôueuetz(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])ontzitzicuî(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])onônomayauh(?![\w-])	publish-ready-405	v473
2026-06-30T04:10:16+00:00	resources/normalize_1611_arenas_inword_brackets.py	6	6	1611 Arenas::capulí\[n\] | 1611 Arenas::cihuapipiltotónti\[n\] | 1611 Arenas::\[i\]tech | 1611 Arenas::macehualti\[n\] | 1611 Arenas::tlàcotí\[n\]	publish-ready-406	v474
2026-06-30T04:11:48+00:00	resources/normalize_1629_alarcon_inword_brackets.py	19	19	1629 Alarcón::\[in\]moopochcopa	publish-ready-407	v475
2026-06-30T04:15:30+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	34	136	1565 Sahagún Escolios::(?<![\w-])nocîtopil(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])namaneapâ(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])omocêtlali(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])omotlâtlali(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])hatleypâ(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])pâfarron(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])oninotecpâ(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])notzôiztacauh(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])notentzô(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])onôpilcatoca(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])oninocêyocux(?![\w-])	publish-ready-408	v476
2026-06-30T04:17:22+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	7	32	1565 Sahagún Escolios::(?<![\w-])ômotzineuh(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])otetecuicatimâca(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])oniteuilâ(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])onitêquayuh(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])onitêquatix(?![\w-]) | 1565 Sahagún Escolios::(?<![\w-])zâcenonacacecauh(?![\w-])	publish-ready-409	v477
2026-06-30T04:20:37+00:00	resources/normalize_1645_carochi_translation_inline_brackets.py	2	2	1645 Carochi::mā\[itl\]~ | 1645 Carochi::zoqui\[y\]ô	publish-ready-410	v478
2026-06-30T04:27:46+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	25	164	1565 Sahagún Escolios::oniteixômicti | 1565 Sahagún Escolios::onixômic | 1565 Sahagún Escolios::nochiâ | 1565 Sahagún Escolios::onicâ\.; | 1565 Sahagún Escolios::za quê | 1565 Sahagún Escolios::nomônanecauh | 1565 Sahagún Escolios::nomôtavacauh | 1565 Sahagún Escolios::notlanêpopolocauh | 1565 Sahagún Escolios::notecêpilancauh | 1565 Sahagún Escolios::notecêmamacauh | 1565 Sahagún Escolios::onôvetz	publish-ready-411	v479
2026-06-30T04:30:10+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	4	20	1565 Sahagún Escolios::nocôcopichcholocauh | 1565 Sahagún Escolios::notôtompo | 1565 Sahagún Escolios::nonâmicauh | 1565 Sahagún Escolios::onictêma | 1565 Sahagún Escolios::onictlatêmachili	publish-ready-412	v480
2026-06-30T04:36:58+00:00	resources/normalize_1611_arenas_bold_example_brackets.py	269	367	1611 Arenas::\[xiquilhui\] | 1611 Arenas::\[n \] | 1611 Arenas::\[ticcohuaz ihuan intla huel tiquimittaz\] | 1611 Arenas::\[yuhqui yez\] | 1611 Arenas::\[oc ixquichica\] | 1611 Arenas::\[xictlahtlali ceceyacan\]	publish-ready-413	v481
2026-06-30T04:39:14+00:00	resources/normalize_1629_alarcon_bold_page_brackets.py	38	468	1629 Alarcón::\[440\]	publish-ready-414	v482
2026-06-30T04:50:35+00:00	resources/normalize_1565_sahagun_escolios_oldspell_display.py	4	44	1565 Sahagún Escolios::(?:Notetlânenencauh|notetlânencauh|aqênotematcauh|haquêontemat|haquê)	publish-ready-415	v483
2026-06-30T05:12:44+00:00	resources/normalize_oneoff_oldspanish_residue.py	56	112		publish-ready-416	v484
2026-06-30T05:15:59+00:00	resources/normalize_sentence_heavy_bold_oldspanish.py	36	70		publish-ready-417	v485
2026-06-30T05:19:08+00:00	resources/normalize_sentence_heavy_bold_oldspanish.py	146	293		publish-ready-418	v486
2026-06-30T05:23:43+00:00	resources/normalize_sentence_heavy_bold_oldspanish.py	19	36		publish-ready-419	v487
2026-06-30T05:32:36+00:00	resources/sync_sahagun_escolios_spanish_mirror_fields.py	3	0		publish-ready-420	v488
2026-06-30T05:33:35+00:00	resources/sync_sahagun_witness_glosses.py	4	8		publish-ready-421	v489
2026-06-30T05:59:38+00:00	resources/normalize_bracketed_correction_pairs.py	69	70		publish-ready-422	v490
2026-06-30T16:40:27+00:00	resources/normalize_1598_tezozomoc_residual_cedilla.py	6	6		publish-ready-423	v491
2026-06-30T16:44:42+00:00	resources/normalize_1629_alarcon_bracketed_root_correction.py	15	15		publish-ready-424	v492
2026-06-30T16:47:41+00:00	resources/normalize_1565_sahagun_escolios_acana_gloss.py	1	9		publish-ready-425	v493
2026-06-30T16:50:04+00:00	resources/normalize_1629_alarcon_context_spanish_cedilla.py	1	1		publish-ready-426	v494
2026-06-30T16:54:08+00:00	resources/normalize_1598_tezozomoc_mechanical_cedilla.py	1	1		publish-ready-427	v495
2026-06-30T17:09:04+00:00	resources/normalize_1565_sahagun_escolios_bold_bracket_residue.py	15	21	1565 Sahagún Escolios::atlaqu\[el\]matini|i\[n\]|y\[n\]	publish-ready-428	v496
2026-06-30T17:18:27+00:00	resources/normalize_1629_alarcon_preceding_bracket_corrections.py	47	48	1629 Alarcón::macuiltonelleque \[macuiltonalleque\]|nonahualtzantecomatl \[nonahualtzontecomatl\]|chiucnaulimictlan \[chicnauhmictlan\]|chicnatitlatetzontli \[chicnauhtlatetzontli\]	publish-ready-429	v497
2026-06-30T17:21:16+00:00	resources/normalize_1547_olmos_v_preceding_bracket_corrections.py	43	43	1547 Olmos_V \?::acar \[azar\]|aguacarse \[aguazarse\]|algo \[alguno\]|amancebarte \[amancebarse\]|amargca \[amargar\]|apetrar \[apretar\]|arredondeca \[arredondear\]|birlos \[bolos\]|caca \[casa\]|casoronse \[casaránse\]|cumo \[zumo\]|desengañar \[desengañar\]|desmenuzar \[desmenuzar\]|despeligar \[despellejar\]|dido \[dedo\]|enjondrar \[engendrar\]|escarmucar \[escaramuzar\]|esforzar \[esforzar\]|espomar \[espumar\]|hechicirca \[hechicería\]|herbie \[hervir\]|hobe \[hombre\]|jasar \[sajar\]|madara \[madera\]|mijor \[mejor\]|nondo \[nudo\]|paredas \[paridas\]|scepirar \[suspirar\]|sebrepujar \[sobrepujar\]|segar \[secar\]|ser \[sed\]|sonar \[soñar\]|tenbrar \[temblar\]|valle \[balde\]|vanarse \[bañarse\]|varde \[verde\]	publish-ready-430	v498
2026-06-30T17:23:29+00:00	resources/normalize_misc_preceding_bracket_corrections.py	7	7	1692 Guerra::persino \[persigno\] | 1780 \? Bnf_361::arrojador \[arrojado\]|baberos \[babera\]|jarma \[arma\]|refalgar \[rejalgar\]|sana \[saña\]	publish-ready-431	v499
2026-06-30T17:33:08+00:00	resources/normalize_resolved_cedilla_decisions.py	5	5	1547 Olmos_V \?::adeçetar | 1598 Tezozomoc::espeçiba | 1629 Alarcón::alabançan|caçegas	publish-ready-432	v500
