record_id	route	escritura_original	texto_estandarizado	source_traduccion	old_traduccion	new_traduccion	old_comentario	new_comentario
1992-karttunen:000048	general	ach-tli	achtli	possessed form; seed / pepita o semilla	possessed form; seed / pepita o semilla	possessed form: seed / pepita o semilla	<b>1992 Karttunen original:</b> ACH-TLI possessed form: -ACHYŌ seed / pepita o semilla (C)	<b>1992 Karttunen original:</b> possessed form; seed / pepita o semilla
1992-karttunen:000135	general	ahhuitz	ahuitz	only attested in possessed form; wing / ala	only attested in possessed form; wing / ala	only attested in possessed form: wing / ala	<b>1992 Karttunen original:</b> AHHUITZ only attested in possessed form wing / ala (T)	<b>1992 Karttunen original:</b> only attested in possessed form; wing / ala
1992-karttunen:000196	general	aitzte-tl	aitztetl	possessed form; gizzard / molleja en las aves	possessed form; gizzard / molleja en las aves	possessed form: gizzard / molleja en las aves	<b>1992 Karttunen original:</b> AITZTE-TL possessed form: -AITZTEUH gizzard / molleja en las aves (M)	<b>1992 Karttunen original:</b> possessed form; gizzard / molleja en las aves
1992-karttunen:000221	general	āma-tl	amatl	possessed form; paper, letter, book / papel, papel, carta, etc., papel o libro	possessed form; paper, letter, book / papel, papel, carta, etc., papel o libro	possessed form: paper, letter, book / papel, papel, carta, etc., papel o libro	<b>1992 Karttunen original:</b> ĀMA-TL possessed form: -ĀMAUH paper, letter, book / papel, (M), papel, carta, etc. (S), papel o libro (C)	<b>1992 Karttunen original:</b> possessed form; paper, letter, book / papel, papel, carta, etc., papel o libro
1992-karttunen:000289	general	ā-tl	atl	possessed form; water, liquid; crown of the head / agua, orines, guerra, o la mollera de la cabeza	possessed form; water, liquid; crown of the head / agua, orines, guerra, o la mollera de la cabeza	possessed form: water, liquid; crown of the head / agua, orines, guerra, o la mollera de la cabeza	<b>1992 Karttunen original:</b> Ā-TL possessed form: -ĀUH water, liquid; crown of the head / agua, orines, guerra, o la mollera de la cabeza (M)	<b>1992 Karttunen original:</b> possessed form; water, liquid; crown of the head / agua, orines, guerra, o la mollera de la cabeza
1992-karttunen:000484	general	-camanacayō	camanacayo	necessarily possessed form; one's gum (of the mouth) / su encia	necessarily possessed form; one's gum (of the mouth) / su encia	necessarily possessed form: one's gum (of the mouth) / su encia	<b>1992 Karttunen original:</b> -CAMANACAYŌ necessarily possessed form one's gum (of the mouth) / su encia (Z)	<b>1992 Karttunen original:</b> necessarily possessed form; one's gum (of the mouth) / su encia
1992-karttunen:000491	general	-camapach	camapach	necessarily possessed form; one`s beard / su barba	necessarily possessed form; one`s beard / su barba	necessarily possessed form: one`s beard / su barba	<b>1992 Karttunen original:</b> -CAMAPACH necessarily possessed form one`s beard / su barba (T)	<b>1992 Karttunen original:</b> necessarily possessed form; one`s beard / su barba
1992-karttunen:000500	general	cam(a)-tl	camatl	possessed form; mouth / boca	possessed form; mouth / boca	possessed form: mouth / boca	<b>1992 Karttunen original:</b> CAM(A)-TL possessed form: -CAN mouth / boca (M)	<b>1992 Karttunen original:</b> possessed form; mouth / boca
1992-karttunen:000612	general	-celicā	celica	possessed form; the freshness of something / frescura y verdor	possessed form; the freshness of something / frescura y verdor	possessed form: the freshness of something / frescura y verdor	<b>1992 Karttunen original:</b> -CELICĀ possessed form of CELICĀYŌ-TL the freshness of something / frescura y verdor (C)	<b>1992 Karttunen original:</b> possessed form; the freshness of something / frescura y verdor
1992-karttunen:000613	general	celicāyō-tl	celicayotl	possessed form; freshness / frescura y verdor	possessed form; freshness / frescura y verdor	possessed form: freshness / frescura y verdor	<b>1992 Karttunen original:</b> CELICĀYŌ-TL possessed form: -CELICĀYŌ -CELICĀ freshness / frescura y verdor (C)	<b>1992 Karttunen original:</b> possessed form; freshness / frescura y verdor
1992-karttunen:000678	general	ce-tl	cetl	possessed form; ice, icicle / hielo, o carámbano	possessed form; ice, icicle / hielo, o carámbano	possessed form: ice, icicle / hielo, o carámbano	<b>1992 Karttunen original:</b> CE-TL possessed form: -CEUH ice, icicle / hielo, o carámbano (M)	<b>1992 Karttunen original:</b> possessed form; ice, icicle / hielo, o carámbano
1992-karttunen:000715	general	-chān	tlatocachan	necessarily possessed form; at the home of / en casa del	necessarily possessed form; at the home of / en casa del	necessarily possessed form: at the home of / en casa del	<b>1992 Karttunen original:</b> -CHĀN necessarily possessed form at the home of / en casa del (C)	<b>1992 Karttunen original:</b> necessarily possessed form; at the home of / en casa del
1992-karttunen:000859	general	-chinānyō	chinanyo	necessarily possessed form; the stalks (of a canebrake or cornfield) / su caña (de la milpa)	necessarily possessed form; the stalks (of a canebrake or cornfield) / su caña (de la milpa)	necessarily possessed form: the stalks (of a canebrake or cornfield) / su caña (de la milpa)	<b>1992 Karttunen original:</b> -CHINĀNYŌ necessarily possessed form the stalks (of a canebrake or cornfield) / su caña (de la milpa ) (T)	<b>1992 Karttunen original:</b> necessarily possessed form; the stalks (of a canebrake or cornfield) / su caña (de la milpa)
1992-karttunen:000904	general	-chōquillō	choquillo	only attested in possessed form; sap, juice / su savia	only attested in possessed form; sap, juice / su savia	only attested in possessed form: sap, juice / su savia	<b>1992 Karttunen original:</b> -CHŌQUILLŌ only attested in possessed form sap, juice / su savia	<b>1992 Karttunen original:</b> only attested in possessed form; sap, juice / su savia
1992-karttunen:000927	general	-cihuānacayō	cihuanacayo	necessarily possessed form; ones female genitals / vulva, vagina	necessarily possessed form; ones female genitals / vulva, vagina	necessarily possessed form: ones female genitals / vulva, vagina	<b>1992 Karttunen original:</b> -CIHUĀNACAYŌ necessarily possessed form ones female genitals / vulva, vagina (S)	<b>1992 Karttunen original:</b> necessarily possessed form; ones female genitals / vulva, vagina
1992-karttunen:000928	general	-cihuānacayō	cihuanacayo	necessarily possessed form; one's female genitals / vulva, vagina	necessarily possessed form; one's female genitals / vulva, vagina	necessarily possessed form: one's female genitals / vulva, vagina	<b>1992 Karttunen original:</b> -CIHUĀNACAYŌ necessarily possessed form one's female genitals / vulva, vagina (S)	<b>1992 Karttunen original:</b> necessarily possessed form; one's female genitals / vulva, vagina
