source	record_id	field	original	editado	old_tokens	new_tokens	context
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000377	Comentario	yep[p]a	yeppa	Comentario:mas	Comentario:más	DE ANTES Auh in cihuacalli in yepa icac ca nell itech pouhqui intech in Pedro Nalli ca nel atle quitotiuh in tetatzin auh in ica ye niquintlamachia azo ye nechtlaocoliz in totecuyo zan ixquichi in niquitohua notlatol. Pasó ante mi Miguel Hernández escribano. Y la otra casa que de antes estaba que es
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000394	Comentario	yolcehuia, nino	moyolcehuia	Comentario:mas	Comentario:más	APACIGUARSE Auh in yehuatl in mixnamiqui in itoca Diego Yaotl ihuan in inamic Isabel Tlaco ca zan quicouhque in tlali ihuan cali auh inic moteylhuia in acali in itoca Diego Yaotl camo imaxca amo intlalcoaul ca yepa ipan cate in Gabriel Yaotl ihuan in inamic María Tecuichon oyuh neltic in tlatoli auh
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000482	Comentario	zatepan	zatepan	Comentario:mas	Comentario:más	cuatro y le damos la posesión que teníamos y se lo apoderamos para siempre y decimos que aunque después alguien nos aconseje otra cosa prometiéndonos mas dineros no lo admitiremos y así lo prometemos ante la justicia. (Venta de la casa. Año 1578, [358]) Auh in chalchihuitl amo icuiliuhtica zatepan ohua
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000540	Comentario	chalania, tito	mochalania	Comentario:mas	Comentario:más	hon auh zan ticcacque quitohua ca oquitlamachi in ipilhuan in ipan mochalaniya y ye itech pouhqui in omic in itoca Juan yuh nechilhui in Pedro Nalli. Mas de que vio que alzaba paredes y labraba la madre de Pedro Nanali e Juan ya difunto y que sabe y tiene entendido que son de la dicha su madre la cual
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000708	Comentario	cohua, nic	cohua	Comentario:mas	Comentario:más	LXXX pesos. Y se pregonó por todo el barrio tlaxilacalli y no pareció nadie de los naturales de México que las quisiere comprar ni se atrevió a pujar mas desde ochenta pesos. (Orden del gobernador para vender la casa de la difunta María Xoco. Año 1578, [347]) 4 In ipan ciudad México ic castollomey mani
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:001286	Comentario	acali	acalli	Comentario:mas | Comentario:mas	Comentario:más | Comentario:más	CASILLA Auh in yehuatl in mixnamiqui in itoca Diego Yaotl ihuan in inamic Isabel Tlaco ca zan quicouhque in tlali ihuan cali auh inic moteylhuia in acali in itoca Diego Yaotl camo imaxca amo intlalcoaul ca yepa ipan cate in Gabriel Yaotl ihuan in inamic María Tecuichon oyuh neltic in tlatoli auh zat
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:001887	Comentario	aocmo cepa	aocmo ceppa	Comentario:mas	Comentario:más	NO ALGUNA VEZ Otitopaccanonotzque in itoca Juan Cuauhtli ihuan in itelpoch Miguel Popoyotl ihuan in inamic María Tiacapan ihuan in icihuamon itoca Isabel Jacobia inic ye quipatiyotia cempohualli pesos ihuan macuil pesos inic ye toyolopachihui inic aocmo cepa titotlatolcuepazque yzpan justicia. E aho
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:002008	Comentario	nelti, 3	nelti	Comentario:mas	Comentario:más	yoan alcaldes yoan jueces. Ocan omoyecti quitohoa albaceas Joan de San Jose Pedro Hernández Diego Leonardo escribano Francisco Sánchez Martín Gano Thomas de Aquino. Confirmose ante el señor gobernador alcaldes y jueces Joan de la Torre, Pedro Hernández, Francisco Sánchez, Martín Cano, Thomas de Aquino.
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:002183	Comentario	-omtlamanixti	omtlamanixti	Comentario:mas	Comentario:más	AMBAS (PARTES) Auh in yehuatl in mixnamiqui in itoca Diego Yaotl ihuan in inamic Isabel Tlaco ca zan quicouhque in tlali ihuan cali auh inic moteylhuia in acali in itoca Diego Yaotl camo imaxca amo intlalcoaul ca yepa ipan cate in Gabriel Yaotl ihuan in inamic María Tecuichon oyuh neltic in tlatoli
1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:002441	Comentario	-axca	axca	Comentario:mas	Comentario:más	s hemos tenido e poseído como es público e notorio entre los indios naturales de esta dicha ciudad). (E así presentada ante don Luis (sic) Cortes e Tomas de Aquino alcaldes indios de esta dicha ciudad dijeron que en ello harían justicia y se tomaría luego información en el dicho caso y lo firmaron de s
