source	pattern	triage	record_id	field	token	context
153? Trilingüe	cedilla	source_orthography	153-trilingue:000036	Comentario	ç	tlatentilóni. Aguzadara piedra. > Aguzadera piedra. 6r coçtis. > cos, cotis. Piedra de afilar; aguzadera.
153? Trilingüe	cedilla	source_orthography	153-trilingue:000080	Comentario	ç	ajouté çancani. cáncana. cencaçancani. Adrada cosa razas. > Adrada cosa razas. 14r a. um. infreques. > rarus, -a, -um;
153? Trilingüe	cedilla	source_orthography	153-trilingue:000080	Comentario	ç	ajouté çancani. cáncana. cencaçancani. Adrada cosa razas. > Adrada cosa razas. 14r a. um. infreques. > rarus, -a, -um; infrequens. Raro; ralo
153? Trilingüe	cedilla	source_orthography	153-trilingue:000183	Comentario	ç	ajouté tlatlaçotlacáio. tlatlaçotlallo. tlaçoyo. tlatlacpitlalízco. Amor furioso. > Amor furioso. 17r furor. oris. ignis. is
153? Trilingüe	cedilla	source_orthography	153-trilingue:000183	Comentario	ç	ajouté tlatlaçotlacáio. tlatlaçotlallo. tlaçoyo. tlatlacpitlalízco. Amor furioso. > Amor furioso. 17r furor. oris. ignis. is. > furor, -oris;
1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000019	Traducción	[preguntar]	preguntar / preguntar a / [preguntar a] / [preguntar]
1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000032	Traducción	[oír]	oír / entender / escuchar / hallarse presente [oír] / notificar / ser informado que
1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000048	Traducción	[hacer]	[hacer] saber (rev. de caquiltia) / hacer relación (rev. de caquiltia) / hacer saber (rev. de caquiltia) / pedir (jus
1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000054	Traducción	[entendido]	ar) / escuchar (rev. de caqui) / mirar y entender (rev. de caqui) / saber (rev. de caqui) / ver (oír) / visto [entendido] (rev. de caqui)
1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000069	Traducción	[demandar]	[demandar] / ser testigo (rev. de tlatoleua)
1611 Arenas	letter_brackets	semantic_gloss	1611-arenas:000041	Traducción	[rogar]	obligación [rogar]
1611 Arenas	letter_brackets	semantic_gloss	1611-arenas:000048	Traducción	[escuchar]	oír / [escuchar] / ir [a oír] / oír
1611 Arenas	letter_brackets	semantic_gloss	1611-arenas:000055	Traducción	[posesión]	[posesión] / hacienda / obra / hacienda
1611 Arenas	letter_brackets	semantic_gloss	1611-arenas:000100	Traducción	[querer]	tener buena voluntad / tener buena voluntad [querer]
1611 Arenas	letter_brackets	semantic_gloss	1611-arenas:000117	Traducción	[algo]	¿qué? / que / ¿cómo? [¿qué?] / [lo que] / ¿como? [¿qué?] / nada [algo]
153? Trilingüe	hat_vowels	source_orthography	153-trilingue:000003	Comentario	ô	tlatelchiuhca. Menospreciando. > Menospreciando. 113r côtemptim. adv. > contemptim. adv. Con desprecio; menospreciando.
153? Trilingüe	hat_vowels	source_orthography	153-trilingue:000021	Comentario	â	tlatemolóni. tepan tlâtolóni. Procuradora cosa. > Procuradora cosa. 132r procuratorius. a. û. > procuratorius, -a, -um. Procurador,
153? Trilingüe	hat_vowels	source_orthography	153-trilingue:000049	Comentario	ê	tlatepitómiliztli. Abreuiadura. > Abreviadura. 4v adbreuiatio. compêdiura. ii. > adbreviatio; compendium, -ii. Abreviatura; compendio.
153? Trilingüe	hat_vowels	source_orthography	153-trilingue:000057	Comentario	ê	tlatepozcopinalíztli. Emprêta o impresión. > Imprenta o impresión. 71v imp^ssio. onis. > impressio, -onis. Impresión; imprenta.
153? Trilingüe	hat_vowels	source_orthography	153-trilingue:000085	Comentario	ô	tlatetexôca. Amordazando adverbio. > Amordazando adverbio. 17v mordaciter. > mordaciter. Mordazmente.
1598 Tezozomoc	letter_brackets	semantic_gloss	1598-tezozomoc:000020	Traducción	[hacer]	[hacer] sacrificio, lavatorio de rey y lavamiento de su real boca
1598 Tezozomoc	letter_brackets	semantic_gloss	1598-tezozomoc:000032	Traducción	[que]	pájaro encarnado que es mayor [que] los que llaman cardenales
1598 Tezozomoc	letter_brackets	semantic_gloss	1598-tezozomoc:000043	Traducción	[alguien]	barrio de donde [alguien] es natural
1598 Tezozomoc	letter_brackets	semantic_gloss	1598-tezozomoc:000053	Traducción	[que]	sacerdote [que] llevaba fuego en un brasero / perfumador de incensarios / vendedor de fuego / perfumador o sahumador / el que
1598 Tezozomoc	letter_brackets	semantic_gloss	1598-tezozomoc:000066	Traducción	[negra]	agua [negra]
1629 Alarcón	letter_brackets	semantic_gloss	1629-alarcon:000072	Traducción	[maíz]	espuerta de la diosa del pan [maíz]
1629 Alarcón	letter_brackets	semantic_gloss	1629-alarcon:000119	Traducción	[agüero]	araña ponzoñosa [agüero]
1629 Alarcón	letter_brackets	semantic_gloss	1629-alarcon:000134	Traducción	[nombre]	carga cabezas [nombre] / otro nombre de yaotl convertido en langosta
1629 Alarcón	letter_brackets	semantic_gloss	1629-alarcon:000137	Traducción	[medicinal]	hierba [medicinal]
1629 Alarcón	letter_brackets	semantic_gloss	1629-alarcon:000151	Traducción	[planta]	simple [planta]
1547 Olmos_G	letter_brackets	semantic_gloss	1547-olmos-g:000098	Traducción	[interjección]	[interjección] para vedar
1547 Olmos_G	letter_brackets	semantic_gloss	1547-olmos-g:000099	Traducción	[interjección]	[interjección] para llamar
1547 Olmos_G	letter_brackets	semantic_gloss	1547-olmos-g:000102	Traducción	[interjección]	[interjección] para se admirar
1547 Olmos_G	letter_brackets	semantic_gloss	1547-olmos-g:000103	Traducción	[interjección]	[interjección] para llorar o para se quejar
1547 Olmos_G	letter_brackets	semantic_gloss	1547-olmos-g:000118	Traducción	[interjección]	[interjección] para vedar
