source	field	rows	filled_rows	coverage	likely_present	likely_absent	p_present_nahuatl	p_not_nahuatl	p_present_spanish	p_not_spanish	p_present_french	p_not_french	p_present_latin	p_not_latin	p_present_english	p_not_english	p_present_greek	p_not_greek	top_evidence
153? Trilingüe	Original	12165	12134	0.9975	nahuatl	spanish,french,latin,english,greek	0.9559	0.0441	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:ciuatl=56|amo=42
153? Trilingüe	Editado	12165	12079	0.9929	nahuatl	spanish,french,latin,english,greek	0.9567	0.0433	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=220|cihuatl=65
153? Trilingüe	Traducción	12165	12165	1.0000	spanish	nahuatl,french,latin,english,greek	0.0038	0.9962	0.8014	0.1986	0.0012	0.9988	0.0000	1.0000	0.0000	1.0000	0.0003	0.9997	nahuatl:no=86|hueso=10|amo=10; spanish:de=2320|asi=1314; french:genero=12|medico=9|despues=8; english:artificial=1; greek:griego=21
153? Trilingüe	Traducción (es)	12165	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
153? Trilingüe	Comentario	12165	12165	1.0000	nahuatl,spanish,latin	french,english,greek	0.4133	0.5867	0.5215	0.4785	0.0465	0.9535	0.4723	0.5277	0.0001	0.9999	0.0008	0.9992	nahuatl:no=298|in=110; spanish:de=6843|asi=2646; french:ajoute=2160|co=54|medico=29; latin:onis=1303|ajoute=1080; english:artificial=7; greek:griego=55|griega=6|grec=2
153? Trilingüe	Comentario (es)	12165	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
153? Trilingüe	Comentario_wimmer_plus_html	12165	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
153? Trilingüe	all_public_text	12165	12165	1.0000	nahuatl,spanish,latin	french,english,greek	0.4147	0.5853	0.9017	0.0983	0.0475	0.9525	0.4723	0.5277	0.0001	0.9999	0.0010	0.9990	nahuatl:no=384|in=111; spanish:de=9163; french:ajoute=2160|co=54|medico=38; latin:onis=1303|ajoute=1080; english:artificial=8; greek:griego=76|griega=6|grec=2
1547 Olmos_G	Original	868	868	1.0000	nahuatl	spanish,french,latin,english,greek	0.9555	0.0445	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:oc=17|quin=8
1547 Olmos_G	Editado	868	868	1.0000	nahuatl	spanish,french,latin,english,greek	0.9555	0.0445	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:zan=16|oc=14
1547 Olmos_G	Traducción	868	868	1.0000	spanish	nahuatl,french,latin,english,greek	0.0088	0.9912	0.8069	0.1931	0.0010	0.9990	0.0032	0.9968	0.0000	1.0000	0.0000	1.0000	nahuatl:no=21|amo=4|sahumerio=2; spanish:el=82|cosa=75; french:cipres=2|despues=2|dijesemos=1; latin:scil=15|vel=1
1547 Olmos_G	Traducción (es)	868	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1547 Olmos_G	Comentario	868	200	0.2304	spanish	french,latin,english,greek	0.2343	0.7657	0.6463	0.3537	0.0114	0.9886	0.0447	0.9553	0.0000	1.0000	0.0000	1.0000	nahuatl:no=50|quin=27|oc=24; spanish:el=186|en=70; french:tambien=12|mexico=4|anteponiendose=2; latin:scil=39|vel=14
