priority	match_kind	record_id	original	current_edition	proposed_edition	changes	authority	translation
A	whole-entry older exact	v94-diccionario-global-snp:000077	achtonti	achtonti	achtontli	insert l after t,current:insert l after t	153? Trilingüe:2 | 1571 Molina 1:2 | 1565 Sahagún Escolios:1 | 1571 Molina 2:1 | 1580 CF Index:1	bisabuelo
A	whole-entry older exact	v94-diccionario-global-snp:000117	aitskuinti	aitzcuinti	aitzcuintli	current:insert l after t	1580 CF Index:2 | 1580 Sahagún/Máynez:1	nutria (lutra annectens, lit. perro de agua)
A	whole-entry older exact	v94-diccionario-global-snp:000121	ajá	aá	aha	j>h	1547 Olmos_G:1	sí (afirmativo)
A	whole-entry older exact	v94-diccionario-global-snp:000126	ajakat	aacatl	ahacatl	-kat>-catl	1580 CF Index:1	entrometido (tentón, metiche en México)
A	whole-entry older exact	v94-diccionario-global-snp:000140	ajauiliya	aahuilia	ahahuilia	-uiliya>-huilia	1780 ? Bnf_361:4 | 1571 Molina 1:3 | 153? Trilingüe:1 | 1547 Olmos_V ?:1 | 1571 Molina 2:1	vt. mojarle algo a o para alguien
A	whole-entry older exact	v94-diccionario-global-snp:000216	ajkopatani	acopatani	acopatlani	current:insert l after t	1580 CF Index:1	vi. levantar el vuelo. volar hacia arriba
A	whole-entry older exact	v94-diccionario-global-snp:000377	ajtapal	atapalli	atlapalli	current:insert l after t	1571 Molina 1:2 | 1580 CF Index:2 | 1780 ? Bnf_361:2 | 1780 Clavijero:2 | 1571 Molina 2:1	ala (p.e. de un ave o de un ángel)
A	whole-entry older exact	v94-diccionario-global-snp:000378	ajtapalej	atapale	atlapale	current:insert l after t	1580 CF Index:2	alado, que tiene alas
A	whole-entry older exact	v94-diccionario-global-snp:000466	akapechti	acapechti	acapechtli	current:insert l after t	1571 Molina 1:2 | 1571 Molina 2:1 | 1579 Durán:1 | 17?? Bnf_362:1 | 1780 ? Bnf_361:1	cama de zacate. estera
A	whole-entry older exact	v94-diccionario-global-snp:001137	amo patauak	amo patahuac	amo patlahuac	current:insert l after t	1571 Molina 1:2 | 1765 Cortés y Zedeño:2 | 1780 ? Bnf_361:2	angosto, estrecho
A	whole-entry older exact	v94-diccionario-global-snp:001404	apetsti	apetzti	apetztli	current:insert l after t	1580 CF Index:2 | 1571 Molina 1:1 | 1571 Molina 2:1 | 1780 ? Bnf_361:1	barniz, barniz de aceite de chía
A	whole-entry older exact	v94-diccionario-global-snp:001485	asnojkonet	asnoconetl	aznoconetl	current:s>z	153? Trilingüe:1 | 1780 ? Bnf_361:1	cría de asno
A	whole-entry older exact	v94-diccionario-global-snp:001504	atakomol	atacomolli	atlacomolli	current:insert l after t	1571 Molina 1:2 | 1571 Molina 2:1 | 1580 CF Index:1 | 1580 Sahagún/Máynez:1 | 17?? Bnf_362:1	pozo
A	whole-entry older exact	v94-diccionario-global-snp:001524	atauaj	atahua	atlahua	current:insert l after t	1580 CF Index:2	río
A	whole-entry older exact	v94-diccionario-global-snp:001569	atenti	atenti	atentli	insert l after t,current:insert l after t	153? Trilingüe:1 | 1551-95 Documentos nahuas de la Ciudad de México:1 | 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1	banco de un río. localidad indígena (topónimo)
A	whole-entry older exact	v94-diccionario-global-snp:001733	auilti	ahuilti	ahuilli	current:insert l after t+ltl>ll	1580 CF Index:2 | 1645 Carochi:1	juego
A	whole-entry older exact	v94-diccionario-global-snp:001807	axuiya	axhuiya	axhuia	-uiya>-huia,current:-iya>-ia	1571 Molina 1:1 | 1571 Molina 2:1 | 1780 ? Bnf_361:1	vi. barnizar
A	whole-entry older exact	v94-diccionario-global-snp:001835	ayauiya	ayahuia	ayahuiya	V-u-V>V-hu-V	1580 CF Index:2	vt. (?)
A	whole-entry older exact	v94-diccionario-global-snp:002069	chauananti	chahuananti	chahuanantli	current:insert l after t	1580 CF Index:2 | 153? Trilingüe:1 | 1547 Olmos_V ?:1 | 1565 Sahagún Escolios:1 | 1571 Molina 1:1	madrastra
A	whole-entry older exact	v94-diccionario-global-snp:002213	chichinauiya	chichinahuiya	chichinahuia	-iya>-ia,-uiya>-huia,current:-iya>-ia	1580 Sahagún/Máynez:1	vi. quemarse
A	whole-entry older exact	v94-diccionario-global-snp:002254	chichti	chichti	chichtli	insert l after t,current:insert l after t	153? Trilingüe:1 | 1571 Molina 1:1 | 1571 Molina 2:1 | 1580 CF Index:1 | 1580 Sahagún/Máynez:1	lechuza (ave de mal augurio). mochuela. búho
