record_id	original	previous_edition	new_edition	translation
v94-diccionario-global-snp:000540	akin itajtakol	aquin itlatacolli	aquin itlatlacolli	culpable (lit. de quien [es] la culpa)
v94-diccionario-global-snp:003906	ijtoua itajtakoluan	itohua itlatacolhuan	itohua itlatlacolhuan	vt. confesar sus pecados
v94-diccionario-global-snp:004922	itatajikniuj	itlataicniuh	itlatlaicniuh	su tío (lit. el hermano de su padre)
v94-diccionario-global-snp:004926	itatajtsin	itlatatzin	itlatlatzin	su padre. su marido
v94-diccionario-global-snp:004927	itatajuan	itlatahuan	itlatlahuan	sus padres (padre y madre, sus papás en México)
v94-diccionario-global-snp:004928	itatampapikka	itlatampapicca	itlatlampapicca	sus calzones
v94-diccionario-global-snp:004929	itatan	itlatan	itlatlan	su paga
v94-diccionario-global-snp:005926	iyat itajtay	iyatl itlatay	iyatl itlatlay	planta silvestre (nicotiana sp.) de la familia solanaceae, no tiene ningún uso
v94-diccionario-global-snp:006553	kampa tel tataki	campa tel tlataqui	campa tel tlatlaqui	fértil (p.e. un terreno, lit. donde mucho produce)
v94-diccionario-global-snp:006963	keman tatanestok	queman tlataneztoc	queman tlatlaneztoc	cuando es de día (p.e. todas las horas del día en que hay luz solar)
v94-diccionario-global-snp:010864	mexkal itajtay	mexcalli itlatay	mexcalli itlatlay	cierta planta de la familia agavaceae, es rupícola, crece en lugares rocosos pegándose a las piedras, no tiene ningún uso
v94-diccionario-global-snp:015599	santacruzxochit itajtay	zantacruzxochitl itlatay	zantacruzxochitl itlatlay	cierta variedad de orquídea. planta (nidema boothii) de la familia orchideaceae, su flor es pequeña y fragante, no tiene uso ornamental
v94-diccionario-global-snp:016238	sentatamanmej	centlatamanme	centlatlamanme	que son de la misma clase o del mismo tipo, que son todos iguales (plu.)
v94-diccionario-global-snp:016239	sentatamiliya	centlatamilia	centlatlamilia	vt. destruirle a alguien todo (p.e. todas las plantas o todo cultivo un agente como el viento, árboles que caen, etc.)
v94-diccionario-global-snp:016240	sentatamiya	centlatamia	centlatlamia	vt. acabar o destruir algo. vi. destruir todo un cultivo (p.e. un viento fuerte a una milpa u otro tipo de sembradío o cultivo)
v94-diccionario-global-snp:017545	tajtachiyalis	tlatachiyaliztli	tlatlachiyaliztli	visión (p.e. de un acontecimiento futuro o pasado). transfiguración (de jesús)
v94-diccionario-global-snp:017546	tajtachiyaltiya	tlatachiyaltia	tlatlachiyaltia	vt. hacer tener a alguien una visión (p.e. de un acontecimiento futuro o pasado)
v94-diccionario-global-snp:017547	tajtachkua	tlatachcua	tlatlachcua	vi. cavar. escarbar
v94-diccionario-global-snp:017548	tajtachkui	tlatachcui	tlatlachcui	aflojarse y desgastarse la capa superior de tierra (por el efecto de alguna actividad, particularmente la de barrer)
v94-diccionario-global-snp:017549	tajtailtiya	tlatailtia	tlatlailtia	vt. (hacer u obligar a beber a alguien bebidas alcohólicas?)
v94-diccionario-global-snp:017552	tajtajnektikisa	tlatanectiquiza	tlatlanectiquiza	vi. salir a oler, pasar a oler
v94-diccionario-global-snp:017557	tajtakentiya	tlataquentia	tlatlaquentia	vr. vestirse. abrigarse
v94-diccionario-global-snp:017560	tajtakolchiujkej	tlatacolchiuhque	tlatlacolchiuhque	pecador
v94-diccionario-global-snp:017562	tajtakolis	tlatacoliztli	tlatlacoliztli	imperfecciones. pecado. errores. culpa. falta
v94-diccionario-global-snp:017563	tajtakolkuiltiya	tlatacolcuiltia	tlatlacolcuiltia	vt. hacer caer en el pecado, permitir que alguien caiga en pecado. vr. sentirse culpable, culparse a sí mismo
v94-diccionario-global-snp:017564	tajtakolmaka	tlatacolmaca	tlatlacolmaca	vr. pecar, cometer un pecado
