relation	token	guess	count	source	lemma	translation	guesses
accent-only	quiza	quizá	22	1571 Molina 2	topan ninochihua  =	Cf. quiza +	quizá, Guiza, suiza, quizás, quita
accent-only	huitzilopochtli	Huitzilopochtli	18	1598 Tezozomoc	tozcatoci	dios sujeto a Huitzilopochtli, con camisa de rosas *D	Huitzilopochtli
accent-only	belcebú	Belcebú	1	1629 Alarcón	tlacolteyotl  +	dioses silvestres / dioses silvestres (donde ponen este carácter X, y por él entienden al enemigo o a Belcebú, que como superior a los demás a quien llaman dioses silvestres o menores)	Belcebú
accent-only	guadalupe	Guadalupe	1	1551-95 Documentos nahuas de la Ciudad de México	de  +	nuestra señora de Guadalupe	Guadalupe
other	abuhado	abuzado	20	1571 Molina 1	zazamac	abuhado así.	abuzado
other	aborrecedor	aborrecido	18	17?? Bnf_362	tecocoliani	Aborrecedor	aborrecido, aborrecer, aborrecemos, aborrecidos, aborreced
other	batimiento	abatimiento	14	1571 Molina 1	tlatzotzonaliztli	batimiento de metal.	abatimiento, bastimento, bastimentó
other	abofeteador	abofeteado	13	1780 ? Bnf_361	teixcapaniani	Dador de bofetón; o abofeteador.	abofeteado, abofeteados
other	abajamiento	abarramiento	10	1571 Molina 1	tololiztli	abajamiento tal.	abarramiento
other	abrimiento	aburrimiento	8	1571 Molina 2	cencamachaloliztli	un abrimiento de boca, o una boqueada.	aburrimiento, abarramiento
other	averiguador	averiguado	8	1571 Molina 1	tlatolaxiltiani	averiguador tal.	averiguado, averiguados
other	bodegonero	bodegoneo	8	1780 ? Bnf_361	vino namacac	Vinatero, que vende vino. Tabernero, tabernera. Bodegonero	bodegoneo
other	embarnizador	embarnizados	8	1571 Molina 1	tlatizahui	embarnizador de esta manera.	embarnizados, embarnizado
other	embrocadura	embocadura	8	1571 Molina 1	tlatzonicquetzaliztli	embrocadura tal.	embocadura
other	atestiguador	atestiguado	7	1571 Molina 1	temelahuani	atestiguador.	atestiguado, atestiguados
other	bendecidor	bendecido	6	1571 Molina 1	tlateochihuani	bendecidor.	bendecido, bendecidos
other	esquividad	esquivado	6	1571 Molina 1	acan teicniuhyotl	esquividad así.	esquivado, esquivada, esquivadas, esquivad
other	absolvedor	absolver	4	1571 Molina 1	tetlatlacolpolhuiani	absolvedor tal.	absolver, absolved, absolvemos
other	bandero	bandera	4	1571 Molina 1	moquetzani  +	bandero hombre de bando.	bandera, bandeo, bañadero
other	obispillo	obispado	4	1571 Molina 1	coyametl icuitlatecon tlanacatentli	obispillo de puerco.	obispado, obispal
other	orizaba	orillaba	4	1598 Tezozomoc	ahuilizapan	"Orizaba en español" *T	orillaba, erizaba, rizaba, orinaba, orzaba
other	abrochadura	abrochada	3	153? Trilingüe	tlatlalpiliztli	Abrochadura de vestido.	abrochada, abrochara, abrochador
other	benito	bonito	3	1571 Molina 2	nezcayotilli  +	deshonrado e infamado con señal. s. de san benito. etc.	bonito, bendito, Benito, buenito, Benita
other	embarbascador	embarbascados	3	1571 Molina 1	tlaapahuiani	embarbascador.	embarbascados, embarbascado
other	enredamiento	enervamiento	3	153? Trilingüe	tlatzohuiliztli	Enredamiento así.	enervamiento
other	ahuado	aguado	2	1571 Molina 1	pouhtiuh	sosegarse o estar seguro o ahuado de algún trabajo, enfermedad o angustia.	aguado, ahumado, ahusado
