bucket	token	count	guess	guesses	reason	source	record_id	lemma	field	translation
candidate_spelling	rengleras	19	reglares	reglares, ringleras	rengleras -> reglares	1571 Molina 2	1571-molina-2:002116	caxtolpantli	Traducción	quince rengleras, o hileras de personas, o de renglones. etc.
candidate_spelling	descalabazado	18	descalabrado	descalabrado, descabalgado, descabalado, descabaladas, descabalada, descabalando	descalabazado -> descalabrado	1571 Molina 1	1571-molina-1:006381	yollotlahueliloc	Traducción	descalabazado o loco desatinado
candidate_spelling	afrentadamente	17	afrentosamente	afrentosamente	afrentadamente -> afrentosamente	1571 Molina 1	1571-molina-1:025268	teahuilquixtiliztica	Traducción	afrentadamente así
candidate_spelling	longura	16	longuera	longuera	longura -> longuera	1571 Molina 1	1571-molina-1:010030	cuauhticayotl	Traducción	longura
candidate_spelling	quelites	15	quelite	quelite	quelites -> quelite	1579 Durán	1579-duran:000311	quiltamalli	Traducción	"pan de legumbres. ""tamal de quelites"""
candidate_spelling	afirmadamente	14	afiladamente	afiladamente, afinadamente	afirmadamente -> afiladamente	1571 Molina 1	1571-molina-1:000087	tlatencuauhtiliztica	Traducción	afirmadamente
candidate_spelling	dobladamente	13	pobladamente	pobladamente	dobladamente -> pobladamente	1571 Molina 1	1571-molina-1:001428	tlatolcuecuepa	Traducción	dobladamente hablar
candidate_spelling	dícese	13	dices	dices, decís, diese, dijese, ícese	dícese -> dices	1571 Molina 2	1571-molina-2:004875	zaquezquintin	Traducción	no quedan sino pocos, dícese de cosas animadas s. de personas
candidate_spelling	ciciones	11	ciclones	ciclones, cisiones	ciciones -> ciclones	1571 Molina 1	1571-molina-1:024626	atonahuiztli  +	Traducción	ciciones
candidate_spelling	contrahacedor	10	contrahacer	contrahacer, contrahaced, contrahaceos, contrahacemos	contrahacedor -> contrahacer	1571 Molina 1	1571-molina-1:000841	tlatlamati	Traducción	momo contrahacedor
candidate_spelling	espeluzado	10	espeluznado	espeluznado, despeluzado	espeluzado -> espeluznado	1780 ? Bnf_361	1780-bnf-361:004337	cecenyaca moquetza itzon	Traducción	espeluzado
candidate_spelling	harda	10	harca	harca, harpa, tarda, harta, hará, haría	harda -> harca	1571 Molina 1	1571-molina-1:009960	cuauhtechalotl	Traducción	harda
candidate_spelling	pleiteantes	10	pleiteases	pleiteases, pleitease, pleiteasteis, pleiteaste, pleiteares	pleiteantes -> pleiteases	1571 Molina 1	1571-molina-1:000748	tlatlalilia	Traducción	concertarse los pleiteantes
candidate_spelling	anne	9	ante	ante, Ana, ande, anden, anee, aúne	anne -> ante	2021 Wimmer	2021-wimmer:002009	tlauhtonatiuh	Traducción (es)	pieza de tela también llamada 'sol rojo' ofrecida por moctezuma a los enemigos invitados a celebrar tlacaxipehualiztli. vié-wöhrer anne-marie. nuestro señor el desollado i p. 136
candidate_spelling	cejunto	9	rejunto	rejunto, rejuntó	cejunto -> rejunto	1571 Molina 1	1571-molina-1:014882	ixcatzonyayahual	Traducción	cejunto
candidate_spelling	desfavorecedor	9	desfavorecidos	desfavorecidos, desfavorecido, desfavorecer, desfavorecemos, desfavoreced	desfavorecedor -> desfavorecidos	1571 Molina 1	1571-molina-1:019426	aonteaquiani	Traducción	desfavorecedor tal
candidate_spelling	maridable	9	Maribel	Maribel, maridaje, maridaba, maridaban, maridaste, maridase	maridable -> Maribel	1571 Molina 1	1571-molina-1:016079	liznemiliztli  +	Traducción	vida maridable
candidate_spelling	tomines	9	motines	motines, tomasen, domines, nomines, timones	tomines -> motines	1551-95 Documentos nahuas de la Ciudad de México	1551-95-documentos-nahuas-de-la-ciudad-de-mexico:000204	tomin	Traducción	dinero / tomines / reales
candidate_spelling	crestada	8	prestada	prestada, restada	crestada -> prestada	1780 Clavijero	1780-clavijero:000137	xotlapech	Traducción	cierta ave crestada y comestible
candidate_spelling	mentonera	8	montonera	montonera, mentores, mentora, mentones, mentaren	mentonera -> montonera	2021 Wimmer	2021-wimmer:009538	chalchiuhcuauhtentetl	Traducción (es)	adorno, mentonera de jade en forma de águila
candidate_spelling	putañero	8	butanero	butanero	putañero -> butanero	1571 Molina 1	1571-molina-1:010778	ahuilnenqui	Traducción	putañero
candidate_spelling	sonable	8	sanable	sanable, sondable	sonable -> sanable	1571 Molina 1	1571-molina-1:001407	caquizti	Traducción	sonable cosa
candidate_spelling	cacles	7	calles	calles, cables, cales, caces, calces, calés	cacles -> calles	1571 Molina 2	1571-molina-2:004987	zotolcactli	Traducción	suelas o cacles de palmas
candidate_spelling	cotinga	7	catinga	catinga	cotinga -> catinga	2021 Wimmer	2021-wimmer:006122	xiuhtotocalli	Traducción (es)	casa de la cotinga. también llamado
candidate_spelling	frances	7	Francis	Francis, francés, francesa, francos, francas, trances	frances -> Francis	2021 Wimmer	2021-wimmer:002076	tlaxcalli	Traducción (es)	tortita de maíz, tortilla. / tortita de maíz.el maíz se remoja en agua con cal. / plural: tortillas. r. joe campbell y frances
candidate_spelling	marmoleña	7	marmolejo	marmolejo, marfileña, maromera, marmolería, maromea	marmoleña -> marmolejo	153? Trilingüe	153-trilingue:008189	achalchihuitl	Traducción	mármol piedra marmoleña
candidate_spelling	corrompedor	6	corrompidos	corrompidos, corromper, corrompido, corrompemos, corromped, corrompeos	corrompedor -> corrompidos	1571 Molina 1	1571-molina-1:030131	tetzintzayanani	Traducción	corrompedor tal
candidate_spelling	cundida	6	fundida	fundida, hundida, cándida, cundido, cundía, cundirá	cundida -> fundida	1571 Molina 1	1571-molina-1:008173	chiyactic	Traducción	cundida mancha
